pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-150,z,54,54,13,z,1,0.7892815830127802,None,,,,,13,54,54,3,403.06384524999885,,403.052133707999,403.06384524999885,404.04992995799694,404.04992995799694,404.04992995799694,404.04992995799694,404.05597741599195,405.0500491249986,405.0500491249986,405.8415013749909,,,,,z,1,0.7892815830127802,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
150,v,55,55,13,v,1,0.862463708006544,None,,,,,13,55,55,1,405.853066124997,,405.84217245799664,405.853066124997,406.8406532079971,406.8406532079971,406.8406532079971,406.8406532079971,406.8500305829948,407.8407414999965,407.8407414999965,408.7077847909968,,,,,v,1,0.862463708006544,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
50,c ,56,56,12,c,0,0.8160049580037594,None,,,,,12,56,56,2,408.7191597499914,,408.70829529099865,408.7191597499914,409.7074122079939,409.7074122079939,409.7074122079939,409.7074122079939,409.71649674999935,410.70617929099535,410.70617929099535,411.5237491250009,,,,,c,0,0.8160049580037594,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
-50,x,57,57,16,x,1,0.8730687909992412,None,,,,,16,57,57,0,411.53581187500095,,411.524355290996,411.53581187500095,412.52343537499837,412.52343537499837,412.52343537499837,412.52343537499837,412.53345270799764,413.5239767500025,413.5239767500025,414.40170237499115,,,,,x,1,0.8730687909992412,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
50,c ,58,58,13,c,0,0.8758260829927167,None,,,,,13,58,58,2,414.4136566249945,,414.40250533299695,414.4136566249945,415.4001884159952,415.4001884159952,415.4001884159952,415.4001884159952,415.4066728329926,416.4000684999919,416.4000684999919,417.28513087499596,,,,,c,0,0.8758260829927167,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
-50,x,59,59,17,x,1,0.7704107489989838,None,,,,,17,59,59,0,417.2965154580015,,417.28583024999534,417.2965154580015,418.2833445409924,418.2833445409924,418.2833445409924,418.2833445409924,418.2898012079968,419.2834175409953,419.2834175409953,420.0574784999917,,,,,x,1,0.7704107489989838,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
-150,z,60,60,14,z,1,0.8048484989994904,None,,,,,14,60,60,3,420.0691700000025,,420.05797904099745,420.0691700000025,421.0564533750003,421.0564533750003,421.0564533750003,421.0564533750003,421.0667373329925,422.05703258299036,422.05703258299036,422.86805241600086,,,,,z,1,0.8048484989994904,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
150,v,61,61,14,v,1,0.8999587489961414,None,,,,,14,61,61,1,422.8798346249969,,422.8686153329909,422.8798346249969,423.86682616599137,423.86682616599137,423.86682616599137,423.86682616599137,423.8736372909916,424.8667298749933,424.8667298749933,425.77495187499153,,,,,v,1,0.8999587489961414,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
50,c ,62,62,14,c,0,0.8731509990029735,None,,,,,14,62,62,2,425.78914358299517,,425.77599295799155,425.78914358299517,426.7739664999972,426.7739664999972,426.7739664999972,426.7739664999972,426.7831894159899,427.77347737499804,427.77347737499804,428.6528862080013,,,,,c,0,0.8731509990029735,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
-50,x,63,63,18,x,1,0.7436191250017146,None,,,,,18,63,63,0,428.66562208299,,428.653736207998,428.66562208299,429.65000154099835,429.65000154099835,429.65000154099835,429.65000154099835,429.65623370799585,430.6498865409958,430.6498865409958,431.40201174998947,,,,,x,1,0.7436191250017146,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
50,c ,64,64,15,c,0,0.8045492499950342,None,,,,,15,64,64,2,431.4143497909972,,431.4028382079996,431.4143497909972,432.3999475000019,432.3999475000019,432.3999475000019,432.3999475000019,432.40619100000185,433.39982866599166,433.39982866599166,434.2073844580009,,,,,c,0,0.8045492499950342,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
-150,z,65,65,15,z,1,0.9197901660081698,None,,,,,15,65,65,3,434.2189644579921,,434.2079078749957,434.2189644579921,435.2068495830026,435.2068495830026,435.2068495830026,435.2068495830026,435.21658087499964,436.2066851659911,436.2066851659911,437.1346783749905,,,,,z,1,0.9197901660081698,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
50,c ,66,66,16,c,0,0.9842713329999242,None,,,,,16,66,66,2,437.1459203330014,,437.13524154099287,437.1459203330014,438.1334019579954,438.1334019579954,438.1334019579954,438.1334019579954,438.1399369159917,439.13318495800195,439.13318495800195,440.1238587909902,,,,,c,0,0.9842713329999242,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
150,v,67,67,15,v,1,0.8146752500033472,None,,,,,15,67,67,1,440.13570979099313,,440.1244578749902,440.13570979099313,441.1230454159959,441.1230454159959,441.1230454159959,441.1230454159959,441.1333371660003,442.12458254100056,442.12458254100056,442.94063633299083,,,,,v,1,0.8146752500033472,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
-50,x,68,68,19,x,1,0.8819671660021413,None,,,,,19,68,68,0,442.9496729160019,,442.94111183300265,442.9496729160019,443.940284915996,443.940284915996,443.940284915996,443.940284915996,443.940284915996,444.9402207499952,444.9402207499952,445.8242985410034,,,,,x,1,0.8819671660021413,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
150,v,69,69,16,v,1,0.8792163739999523,None,,,,,16,69,69,1,445.8357338329952,,445.82481729099527,445.8357338329952,446.82346137499553,446.82346137499553,446.82346137499553,446.82346137499553,446.8331230409967,447.8228817909985,447.8228817909985,448.70707454100193,,,,,v,1,0.8792163739999523,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
150,v,70,70,17,v,1,0.8180280829983531,None,,,,,17,70,70,1,448.7186869579891,,448.7075931659929,448.7186869579891,449.7072961249942,449.7072961249942,449.7072961249942,449.7072961249942,449.716608082992,450.6999654999963,450.6999654999963,451.5237063329987,,,,,v,1,0.8180280829983531,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
50,c ,71,71,17,c,0,0.84515279099287,None,,,,,17,71,71,2,451.53532733299653,,451.5242085829959,451.53532733299653,452.5237055000034,452.5237055000034,452.5237055000034,452.5237055000034,452.53315020799346,453.5236442500027,453.5236442500027,454.37400825000077,,,,,c,0,0.84515279099287,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
50,c ,72,72,18,c,0,0.791486125002848,None,,,,,18,72,72,2,454.3901232909993,,454.37452833299176,454.3901232909993,455.37370954100334,455.37370954100334,455.37370954100334,455.37370954100334,455.3832822080003,456.3733318750019,456.3733318750019,457.16769379099424,,,,,c,0,0.791486125002848,None,4,001,2025-10-02_16h01.24.046,Motor Sequence Learning,,2025.1.1,None,2025-10-02 16h01.41.256230 +0530,
